age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,avg_grade,school_GP,school_MS,sex_F,sex_M,address_R,address_U,famsize_GT3,famsize_LE3,Pstatus_A,Pstatus_T,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,schoolsup_no,schoolsup_yes,famsup_no,famsup_yes,paid_no,paid_yes,activities_no,activities_yes,nursery_no,nursery_yes,higher_no,higher_yes,internet_no,internet_yes,romantic_no,romantic_yes
15,2,2,1,1,0,4,2,2,1,2,5,2,11.666666666666666,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False
15,4,2,1,1,0,2,2,4,2,4,1,4,15.333333333333334,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,True,False
16,3,4,1,2,0,5,3,3,1,1,5,4,11.0,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,True,False
16,4,4,1,2,0,4,4,5,5,5,5,16,11.0,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True
15,4,4,1,2,0,5,4,2,3,4,5,0,10.666666666666666,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,True,True,False
15,4,4,2,2,0,4,3,1,1,1,5,0,16.666666666666668,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False
15,4,3,1,2,0,4,5,2,1,1,5,0,16.333333333333332,True,False,False,True,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True
15,3,3,1,2,0,5,3,2,1,1,2,0,10.0,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,True,False
16,3,2,1,1,0,5,4,3,1,1,5,0,13.666666666666666,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,True,True,False
15,2,3,2,1,0,3,5,1,1,1,5,0,7.0,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,True,True,False,True,False
15,4,3,1,3,0,5,4,3,1,1,4,2,16.333333333333332,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False
16,4,4,2,3,0,2,4,3,1,1,5,7,15.333333333333334,True,False,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True
15,3,4,1,3,0,4,3,2,1,1,5,2,11.666666666666666,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
15,2,2,1,1,0,4,3,1,1,1,2,8,13.333333333333334,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False
16,2,2,2,2,1,3,3,3,1,2,3,25,9.333333333333334,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True
15,4,4,1,1,0,5,4,3,2,4,5,8,12.0,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True
15,4,4,1,2,0,4,3,3,1,1,5,2,18.333333333333332,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False
15,2,2,1,1,0,5,4,1,1,1,1,0,9.0,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False
16,2,2,2,2,1,4,3,3,2,2,5,14,9.666666666666666,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False
15,4,3,1,2,0,5,2,2,1,1,5,8,7.333333333333333,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
16,3,3,1,2,0,2,3,5,1,4,3,12,11.333333333333334,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False
16,4,3,1,4,0,4,2,2,1,1,2,4,19.333333333333332,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False
15,4,2,1,2,0,4,3,3,2,2,5,2,14.666666666666666,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False
15,4,4,1,2,1,4,4,4,1,1,3,2,7.0,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,True,False,False,True,False,True,True,False
16,2,2,3,2,0,4,3,3,2,3,4,2,12.666666666666666,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False
15,4,2,1,2,0,4,3,3,1,1,5,2,12.333333333333334,True,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False
15,4,2,2,1,1,5,5,5,3,4,5,6,10.666666666666666,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False
15,4,4,1,1,0,3,3,4,2,3,5,0,9.666666666666666,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False
15,3,3,1,1,0,5,3,4,4,4,1,6,12.0,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,True,False
16,2,1,1,2,0,5,3,4,1,1,2,8,9.0,True,False,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True
15,4,3,1,2,0,4,3,2,1,1,1,0,14.666666666666666,True,False,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False
15,4,4,1,2,0,3,2,2,1,1,5,4,14.666666666666666,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,True,False,True,False
15,1,2,1,2,0,4,3,2,1,1,5,2,9.333333333333334,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,True,False
16,4,2,1,2,0,4,2,3,1,1,5,2,15.666666666666666,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False
16,4,4,1,2,0,2,4,4,2,3,4,6,10.666666666666666,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,True,False,True,False
16,1,1,4,1,0,5,5,5,5,5,5,6,9.666666666666666,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,True,True,False,False,True,False,True,False,True
16,1,2,1,2,0,4,4,3,1,1,1,4,9.0,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False
16,4,3,1,3,0,3,4,4,2,4,4,2,9.333333333333334,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
15,4,3,1,2,0,4,4,4,2,4,2,0,10.0,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True
16,4,3,3,2,0,5,4,3,1,2,1,2,15.333333333333334,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False
15,4,4,1,4,0,1,3,3,5,5,3,4,12.666666666666666,True,False,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True
16,3,1,1,4,0,4,3,3,1,2,5,4,6.666666666666667,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False
15,2,2,2,2,0,4,1,3,1,3,4,2,8.333333333333334,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False
15,3,1,2,4,0,4,4,2,2,3,3,12,16.0,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,True,False
16,3,1,2,4,0,4,3,2,1,1,5,0,14.333333333333334,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False
15,4,2,1,4,0,3,3,3,1,1,3,0,10.0,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,True,False
15,1,1,1,2,2,3,3,4,2,4,5,2,6.333333333333333,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True,False,True,False,True
16,3,1,1,1,0,5,3,2,2,2,5,2,12.666666666666666,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False
16,3,3,1,2,0,4,3,3,2,4,5,54,11.333333333333334,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
15,4,3,1,2,0,4,3,3,2,3,5,6,9.333333333333334,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False
15,4,0,2,4,0,3,4,3,1,1,1,8,10.666666666666666,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False
16,2,2,1,4,0,5,2,3,1,3,3,0,11.0,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True
17,2,1,2,1,3,4,5,1,1,1,3,2,8.666666666666666,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,True,False
16,3,4,1,2,0,2,4,3,1,2,3,12,5.0,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False
15,2,3,1,1,0,3,2,2,1,3,3,2,11.333333333333334,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
15,2,3,1,3,0,5,3,2,1,2,5,4,10.666666666666666,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False
15,3,2,1,2,0,4,4,4,1,1,5,10,6.333333333333333,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False
15,2,2,2,2,0,5,3,3,1,3,4,4,15.0,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False
15,1,1,1,2,0,4,3,2,2,3,4,2,9.666666666666666,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,True,False
15,4,4,2,2,2,4,4,4,2,3,5,6,8.0,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True
16,2,2,1,2,0,4,3,4,1,2,2,4,7.0,True,False,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False
15,4,2,1,3,0,5,3,3,1,3,1,4,13.666666666666666,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False
16,2,2,2,2,1,4,4,2,1,1,3,12,10.333333333333334,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False
16,4,4,1,2,0,4,1,3,3,5,5,18,7.0,True,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False
16,3,3,1,3,0,4,3,3,1,3,4,0,7.333333333333333,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True
15,4,3,1,1,0,4,5,5,1,3,1,4,17.0,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False
16,3,1,1,2,0,3,3,3,2,3,2,4,6.333333333333333,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,True,False,False,True,False,True,True,False,True,False
16,4,2,2,2,0,5,3,3,1,1,1,0,10.333333333333334,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False
15,2,2,1,4,0,4,3,4,1,1,4,6,12.666666666666666,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False
15,1,1,2,4,1,3,1,2,1,1,1,2,9.0,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
16,4,3,2,1,0,3,3,3,1,1,4,2,13.666666666666666,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False,True,False,True,True,False
16,2,1,1,2,0,4,3,5,1,1,5,2,9.0,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True
16,4,4,1,1,0,5,3,4,1,2,1,6,13.0,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,True,False
16,4,3,1,3,0,5,3,5,1,1,3,0,8.0,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False
16,4,4,1,1,0,4,5,5,5,5,4,14,6.333333333333333,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
16,4,4,1,3,0,4,4,3,1,1,4,0,16.666666666666668,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True
15,4,4,1,1,0,5,3,3,1,1,5,4,12.333333333333334,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,True,False
15,3,2,2,2,0,4,3,5,1,1,2,26,6.333333333333333,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False
15,3,4,1,2,0,5,4,4,1,1,1,0,17.333333333333332,True,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False
15,3,3,1,4,0,4,3,3,1,1,4,10,10.666666666666666,True,False,True,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,True,False,False,True,False,True,True,False,True,False
15,2,2,1,4,0,5,1,2,1,1,3,8,7.666666666666667,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False
16,3,3,1,3,0,5,3,3,1,1,5,2,17.333333333333332,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False
15,4,4,4,4,0,1,3,5,3,5,1,6,12.0,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True
16,4,4,1,3,0,5,4,5,1,1,4,4,15.0,True,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True
15,4,4,1,1,0,5,5,3,1,1,4,6,18.666666666666668,True,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False
16,3,3,1,3,1,4,1,2,1,1,2,0,9.0,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,True,False
